date,temperature,humidity,wind_speed,pressure,cloud_cover,precipitation,temperature_min,temperature_max,temp_range,temp_hourly_std,hdh_18c,hdh_15c,hours_below_0c,wind_chill_mean,wind_chill_min
2024-12-30 07:00:00,0.08,95.6,14.4,1025.04,8.0,0.0,-0.1,0.2,0.30000000000000004,0.10954451150103323,89.6,74.6,1,-1.3599999999999999,-1.45
2024-12-31 07:00:00,1.1916666666666667,86.04166666666667,15.0,1025.5208333333333,6.416666666666667,0.0,-0.4,2.6,3.0,1.0496030995889192,403.4,331.4,5,-0.3083333333333334,-1.77
2025-01-01 07:00:00,2.595833333333333,87.95833333333333,17.804166666666667,1023.9541666666668,0.7083333333333334,0.0,0.5,6.3,5.8,1.8602195210960095,369.7,297.7,0,0.8154166666666667,-1.24
2025-01-02 07:00:00,5.075,85.16666666666667,20.658333333333335,1015.5625,0.08333333333333333,0.0,1.9,8.4,6.5,1.8164106986270914,310.2,238.2,0,3.0091666666666668,-0.20000000000000018
2025-01-03 07:00:00,4.804166666666666,83.33333333333333,16.55,1009.8791666666666,8.0,1.9,0.7,7.8,7.1,2.2223135548864126,316.7,244.7,0,3.1491666666666664,-0.41999999999999993
2025-01-04 07:00:00,-0.8958333333333334,72.16666666666667,16.787499999999998,1016.5875,2.2916666666666665,0.0,-4.5,3.1,7.6,2.3970052269386093,453.5,381.5,13,-2.5745833333333334,-5.7
2025-01-05 07:00:00,-3.3791666666666664,77.91666666666667,9.225,1024.4208333333333,1.125,0.0,-5.0,0.0,5.0,1.734052596029631,513.1,441.1,23,-4.301666666666667,-5.88
2025-01-06 07:00:00,2.4208333333333334,89.95833333333333,22.604166666666668,1019.9541666666668,7.083333333333333,1.6,-1.9,4.2,6.1,1.6839341014336084,373.9,301.9,3,0.1604166666666665,-3.66
2025-01-07 07:00:00,7.2124999999999995,91.54166666666667,18.825,1018.3583333333332,7.375,0.0,3.2,9.4,6.2,1.6461582416407416,258.9,186.9,0,5.33,1.22
2025-01-08 07:00:00,9.120833333333334,91.66666666666667,20.849999999999998,1015.1666666666666,6.125,0.7,6.9,12.3,5.4,1.6735744528629026,213.1,141.1,0,7.035833333333333,5.3500000000000005
