appliance_group,year,month,days_in_month,residents,n_consumers,pg_month,vpg_month,op_per_m2_month,total_predicted_month,actual_median_month,total_formula
"ПГ,ВПГ",2025,8,31,2,318,5.82,6.02,0.0,11.84,11.84,
"ПГ,ВПГ",2025,8,31,3,215,6.22,5.32,0.0,11.54,11.54,
"ПГ,ВПГ",2025,8,31,4,113,6.92,7.21,0.0,14.13,14.13,
"ПГ,ВПГ",2025,9,30,2,318,5.96,7.97,0.0,13.93,13.93,
"ПГ,ВПГ",2025,9,30,3,215,6.27,5.86,0.0,12.13,12.13,
"ПГ,ВПГ",2025,9,30,4,113,6.28,9.03,0.0,15.31,15.31,
"ПГ,ВПГ",2025,10,31,2,315,6.96,9.24,0.0,16.2,17.28,
"ПГ,ВПГ",2025,10,31,3,215,7.54,8.64,0.0,16.18,16.24,
"ПГ,ВПГ",2025,10,31,4,110,8.23,9.57,0.0,17.8,18.66,
"ПГ,ВПГ",2025,11,30,2,314,6.44,9.79,0.0,16.24,16.66,
"ПГ,ВПГ",2025,11,30,3,212,7.15,10.34,0.0,17.49,17.77,
"ПГ,ВПГ",2025,11,30,4,110,7.97,11.05,0.0,19.02,21.02,
"ПГ,ВПГ",2025,12,31,2,312,6.92,11.28,0.0,18.2,17.45,
"ПГ,ВПГ",2025,12,31,3,213,7.46,11.68,0.0,19.14,18.43,
"ПГ,ВПГ",2025,12,31,4,110,7.96,13.27,0.0,21.23,21.91,
"ПГ,ВПГ",2026,1,31,2,306,6.36,12.34,0.0,18.7,18.82,
"ПГ,ВПГ",2026,1,31,3,209,6.89,12.66,0.0,19.55,19.55,
"ПГ,ВПГ",2026,1,31,4,108,7.35,14.93,0.0,22.28,23.7,
"ОП,ПГ",2024,10,31,1,272,5.8,0.0,0.8097,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,10,31,2,272,6.96,0.0,0.8097,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,10,31,3,272,7.54,0.0,0.8097,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,10,31,4,272,8.23,0.0,0.8097,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,10,31,5,272,12.67,0.0,0.8097,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,11,30,1,274,5.62,0.0,2.7674,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,11,30,2,274,6.44,0.0,2.7674,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,11,30,3,274,7.15,0.0,2.7674,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,11,30,4,274,7.97,0.0,2.7674,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,11,30,5,274,12.67,0.0,2.7674,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,12,31,1,274,5.92,0.0,3.6191,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,12,31,2,274,6.92,0.0,3.6191,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,12,31,3,274,7.46,0.0,3.6191,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,12,31,4,274,7.96,0.0,3.6191,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2024,12,31,5,274,12.67,0.0,3.6191,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,1,31,1,278,4.63,0.0,3.4728,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,1,31,2,278,6.36,0.0,3.4728,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,1,31,3,278,6.89,0.0,3.4728,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,1,31,4,278,7.35,0.0,3.4728,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,1,31,5,278,12.67,0.0,3.4728,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,2,28,1,274,4.72,0.0,3.9439,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,2,28,2,274,5.84,0.0,3.9439,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,2,28,3,274,6.36,0.0,3.9439,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,2,28,4,274,7.05,0.0,3.9439,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,2,28,5,274,12.67,0.0,3.9439,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,3,31,1,283,5.46,0.0,2.4176,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,3,31,2,283,6.27,0.0,2.4176,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,3,31,3,283,6.61,0.0,2.4176,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,3,31,4,283,7.27,0.0,2.4176,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,3,31,5,283,12.67,0.0,2.4176,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,4,30,1,283,4.87,0.0,1.1361,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,4,30,2,283,6.72,0.0,1.1361,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,4,30,3,283,7.07,0.0,1.1361,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,4,30,4,283,7.96,0.0,1.1361,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,4,30,5,283,12.67,0.0,1.1361,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,5,31,1,283,5.03,0.0,0.2392,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,5,31,2,283,5.75,0.0,0.2392,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,5,31,3,283,6.13,0.0,0.2392,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,5,31,4,283,6.86,0.0,0.2392,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,5,31,5,283,12.67,0.0,0.2392,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,6,30,1,283,5.2,0.0,0.09,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,6,30,2,283,5.51,0.0,0.09,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,6,30,3,283,5.77,0.0,0.09,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,6,30,4,283,6.26,0.0,0.09,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,6,30,5,283,12.67,0.0,0.09,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,7,31,1,283,5.22,0.0,0.0847,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,7,31,2,283,5.39,0.0,0.0847,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,7,31,3,283,5.4,0.0,0.0847,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,7,31,4,283,6.22,0.0,0.0847,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,7,31,5,283,12.67,0.0,0.0847,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,8,31,1,283,5.32,0.0,0.0849,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,8,31,2,283,5.82,0.0,0.0849,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,8,31,3,283,6.22,0.0,0.0849,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,8,31,4,283,6.92,0.0,0.0849,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,8,31,5,283,12.67,0.0,0.0849,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,9,30,1,283,5.76,0.0,0.1356,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,9,30,2,283,5.96,0.0,0.1356,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,9,30,3,283,6.27,0.0,0.1356,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,9,30,4,283,6.28,0.0,0.1356,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,9,30,5,283,12.67,0.0,0.1356,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,10,31,1,277,5.8,0.0,1.2155,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,10,31,2,277,6.96,0.0,1.2155,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,10,31,3,277,7.54,0.0,1.2155,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,10,31,4,277,8.23,0.0,1.2155,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,10,31,5,277,12.67,0.0,1.2155,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,11,30,1,259,5.62,0.0,2.1114,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,11,30,2,259,6.44,0.0,2.1114,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,11,30,3,259,7.15,0.0,2.1114,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,11,30,4,259,7.97,0.0,2.1114,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,11,30,5,259,12.67,0.0,2.1114,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,12,31,1,241,5.92,0.0,3.595,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,12,31,2,241,6.92,0.0,3.595,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,12,31,3,241,7.46,0.0,3.595,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,12,31,4,241,7.96,0.0,3.595,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2025,12,31,5,241,12.67,0.0,3.595,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2026,1,31,1,206,4.63,0.0,4.5493,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2026,1,31,2,206,6.36,0.0,4.5493,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2026,1,31,3,206,6.89,0.0,4.5493,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2026,1,31,4,206,7.35,0.0,4.5493,,,pg + vpg + op_per_m2 * area
"ОП,ПГ",2026,1,31,5,206,12.67,0.0,4.5493,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,10,31,1,998,5.8,0.0,0.6743,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,10,31,2,998,6.96,9.24,0.6743,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,10,31,3,998,7.54,8.64,0.6743,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,10,31,4,998,8.23,9.57,0.6743,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,10,31,5,998,12.67,19.18,0.6743,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,11,30,1,1002,5.62,0.0,2.3045,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,11,30,2,1002,6.44,9.79,2.3045,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,11,30,3,1002,7.15,10.34,2.3045,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,11,30,4,1002,7.97,11.05,2.3045,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,11,30,5,1002,12.67,24.78,2.3045,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,12,31,1,1005,5.92,0.0,2.9787,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,12,31,2,1005,6.92,11.28,2.9787,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,12,31,3,1005,7.46,11.68,2.9787,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,12,31,4,1005,7.96,13.27,2.9787,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2024,12,31,5,1005,12.67,30.23,2.9787,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,1,31,1,1009,4.63,0.0,2.8918,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,1,31,2,1009,6.36,12.34,2.8918,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,1,31,3,1009,6.89,12.66,2.8918,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,1,31,4,1009,7.35,14.93,2.8918,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,1,31,5,1009,12.67,36.45,2.8918,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,2,28,1,987,4.72,0.0,3.3044,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,2,28,2,987,5.84,12.4,3.3044,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,2,28,3,987,6.36,12.39,3.3044,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,2,28,4,987,7.05,13.87,3.3044,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,2,28,5,987,12.67,27.95,3.3044,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,3,31,1,1023,5.46,0.0,1.9419,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,3,31,2,1023,6.27,13.32,1.9419,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,3,31,3,1023,6.61,13.73,1.9419,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,3,31,4,1023,7.27,15.71,1.9419,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,3,31,5,1023,12.67,30.05,1.9419,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,4,30,1,1023,4.87,0.0,0.8833,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,4,30,2,1023,6.72,12.44,0.8833,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,4,30,3,1023,7.07,13.55,0.8833,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,4,30,4,1023,7.96,15.13,0.8833,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,4,30,5,1023,12.67,26.33,0.8833,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,5,31,1,1023,5.03,0.0,0.2198,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,5,31,2,1023,5.75,11.46,0.2198,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,5,31,3,1023,6.13,11.64,0.2198,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,5,31,4,1023,6.86,14.17,0.2198,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,5,31,5,1023,12.67,27.3,0.2198,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,6,30,1,1023,5.2,0.0,0.1024,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,6,30,2,1023,5.51,8.98,0.1024,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,6,30,3,1023,5.77,8.22,0.1024,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,6,30,4,1023,6.26,11.26,0.1024,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,6,30,5,1023,12.67,22.27,0.1024,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,7,31,1,1023,5.22,0.0,0.0929,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,7,31,2,1023,5.39,6.85,0.0929,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,7,31,3,1023,5.4,6.88,0.0929,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,7,31,4,1023,6.22,8.7,0.0929,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,7,31,5,1023,12.67,15.87,0.0929,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,8,31,1,1023,5.32,0.0,0.0976,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,8,31,2,1023,5.82,6.02,0.0976,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,8,31,3,1023,6.22,5.32,0.0976,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,8,31,4,1023,6.92,7.21,0.0976,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,8,31,5,1023,12.67,7.07,0.0976,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,9,30,1,1023,5.76,0.0,0.1364,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,9,30,2,1023,5.96,7.97,0.1364,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,9,30,3,1023,6.27,5.86,0.1364,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,9,30,4,1023,6.28,9.03,0.1364,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,9,30,5,1023,12.67,5.55,0.1364,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,10,31,1,1006,5.8,0.0,0.9897,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,10,31,2,1006,6.96,9.24,0.9897,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,10,31,3,1006,7.54,8.64,0.9897,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,10,31,4,1006,8.23,9.57,0.9897,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,10,31,5,1006,12.67,19.18,0.9897,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,11,30,1,971,5.62,0.0,1.6778,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,11,30,2,971,6.44,9.79,1.6778,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,11,30,3,971,7.15,10.34,1.6778,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,11,30,4,971,7.97,11.05,1.6778,,,pg + vpg + op_per_m2 * area
