account_id,appliance_group,profile_id
600248629,"ОП,ПГ",1
600259945,"ОП,ПГ",1
600260362,"ОП,ПГ",1
600264615,"ОП,ПГ",1
600268160,"ОП,ПГ",1
600269260,"ОП,ПГ",1
600277781,"ОП,ПГ",1
600291609,"ОП,ПГ",1
600075556,"ОП,ПГ",1
600266591,"ОП,ПГ",1
600269226,"ОП,ПГ",1
600270585,"ОП,ПГ",1
600278466,"ОП,ПГ",1
600281191,"ОП,ПГ",1
600284141,"ОП,ПГ",1
600285638,"ОП,ПГ",1
600290036,"ОП,ПГ",1
600263902,"ОП,ПГ",1
600264903,"ОП,ПГ",1
600281763,"ОП,ПГ",1
600270744,"ОП,ПГ",1
600275794,"ОП,ПГ",1
600282337,"ОП,ПГ",1
600290282,"ОП,ПГ",1
600066030,"ОП,ПГ",1
600066066,"ОП,ПГ",1
600316575,"ОП,ПГ",1
600286183,"ОП,ПГ",1
600064052,"ОП,ПГ",1
600064310,"ОП,ПГ",1
600064459,"ОП,ПГ",1
600076636,"ОП,ПГ",1
600281800,"ОП,ПГ",1
600287484,"ОП,ПГ",1
600063336,"ОП,ПГ",1
600282258,"ОП,ПГ",1
600287163,"ОП,ПГ",1
600290287,"ОП,ПГ",1
600290664,"ОП,ПГ",1
600064491,"ОП,ПГ",1
600075519,"ОП,ПГ",1
600315045,"ОП,ПГ",1
600319880,"ОП,ПГ",1
600063765,"ОП,ПГ",1
600074973,"ОП,ПГ",1
600076960,"ОП,ПГ",1
600323017,"ОП,ПГ",1
600323874,"ОП,ПГ",1
600324836,"ОП,ПГ",1
600319441,"ОП,ПГ",1
600335550,"ОП,ПГ",1
600075214,"ОП,ПГ",1
600331402,"ОП,ПГ",1
600323859,"ОП,ПГ",1
600332441,"ОП,ПГ",1
600320128,"ОП,ПГ",1
600323986,"ОП,ПГ",1
600335182,"ОП,ПГ",1
600335899,"ОП,ПГ",1
600327095,"ОП,ПГ",1
600319777,"ОП,ПГ",1
600335369,"ОП,ПГ",1
600339685,"ОП,ПГ",1
600342353,"ОП,ПГ",1
600342648,"ОП,ПГ",1
600338946,"ОП,ПГ",1
600339967,"ОП,ПГ",1
600357992,"ОП,ПГ",1
600174638,"ОП,ПГ",1
600176319,"ОП,ПГ",1
600187534,"ОП,ПГ",1
600180260,"ОП,ПГ",1
600185638,"ОП,ПГ",1
600173624,"ОП,ПГ",1
600181190,"ОП,ПГ",1
600181314,"ОП,ПГ",1
600184097,"ОП,ПГ",1
600173480,"ОП,ПГ",1
600183404,"ОП,ПГ",1
600173511,"ОП,ПГ",1
600178158,"ОП,ПГ",1
600179066,"ОП,ПГ",1
600180172,"ОП,ПГ",1
600184208,"ОП,ПГ",1
600471459,"ОП,ПГ",1
600305583,"ОП,ПГ",1
600305630,"ОП,ПГ",1
600310064,"ОП,ПГ",1
600308930,"ОП,ПГ",1
600306462,"ОП,ПГ",1
600308072,"ОП,ПГ",1
600313194,"ОП,ПГ",1
600488057,"ОП,ПГ",1
600305401,"ОП,ПГ",1
600307762,"ОП,ПГ",1
600294227,"ОП,ПГ,ВПГ",0
600298313,"ОП,ПГ,ВПГ",0
600299894,"ОП,ПГ,ВПГ",0
600300055,"ОП,ПГ,ВПГ",0
600300059,"ОП,ПГ,ВПГ",0
600301030,"ОП,ПГ,ВПГ",0
600302083,"ОП,ПГ,ВПГ",0
600303791,"ОП,ПГ,ВПГ",0
600189495,"ОП,ПГ,ВПГ",0
600191344,"ОП,ПГ,ВПГ",0
600193951,"ОП,ПГ,ВПГ",0
600194521,"ОП,ПГ,ВПГ",0
600199105,"ОП,ПГ,ВПГ",0
600203589,"ОП,ПГ,ВПГ",0
600205907,"ОП,ПГ,ВПГ",0
600209872,"ОП,ПГ,ВПГ",0
600210355,"ОП,ПГ,ВПГ",0
600292476,"ОП,ПГ,ВПГ",0
600293827,"ОП,ПГ,ВПГ",0
600294770,"ОП,ПГ,ВПГ",0
600295247,"ОП,ПГ,ВПГ",0
600295423,"ОП,ПГ,ВПГ",0
600298870,"ОП,ПГ,ВПГ",0
600299280,"ОП,ПГ,ВПГ",0
600300558,"ОП,ПГ,ВПГ",0
600301974,"ОП,ПГ,ВПГ",0
600303507,"ОП,ПГ,ВПГ",0
600188249,"ОП,ПГ,ВПГ",0
600189330,"ОП,ПГ,ВПГ",0
600193541,"ОП,ПГ,ВПГ",0
600193602,"ОП,ПГ,ВПГ",0
600195098,"ОП,ПГ,ВПГ",0
600205188,"ОП,ПГ,ВПГ",0
600292568,"ОП,ПГ,ВПГ",0
600293011,"ОП,ПГ,ВПГ",0
600293241,"ОП,ПГ,ВПГ",0
600294048,"ОП,ПГ,ВПГ",0
600298457,"ОП,ПГ,ВПГ",0
600298786,"ОП,ПГ,ВПГ",0
600300369,"ОП,ПГ,ВПГ",0
600300750,"ОП,ПГ,ВПГ",0
600304992,"ОП,ПГ,ВПГ",0
600195258,"ОП,ПГ,ВПГ",0
600195451,"ОП,ПГ,ВПГ",0
600196384,"ОП,ПГ,ВПГ",0
600202272,"ОП,ПГ,ВПГ",0
600204857,"ОП,ПГ,ВПГ",0
600293572,"ОП,ПГ,ВПГ",0
600293908,"ОП,ПГ,ВПГ",0
600297084,"ОП,ПГ,ВПГ",0
600297569,"ОП,ПГ,ВПГ",0
600300486,"ОП,ПГ,ВПГ",0
600301768,"ОП,ПГ,ВПГ",0
600190242,"ОП,ПГ,ВПГ",0
600192439,"ОП,ПГ,ВПГ",0
600194102,"ОП,ПГ,ВПГ",0
600197178,"ОП,ПГ,ВПГ",0
600199199,"ОП,ПГ,ВПГ",0
600297554,"ОП,ПГ,ВПГ",0
600297762,"ОП,ПГ,ВПГ",0
600298886,"ОП,ПГ,ВПГ",0
600300519,"ОП,ПГ,ВПГ",0
600302736,"ОП,ПГ,ВПГ",0
600303192,"ОП,ПГ,ВПГ",0
600303250,"ОП,ПГ,ВПГ",0
600189034,"ОП,ПГ,ВПГ",0
600189817,"ОП,ПГ,ВПГ",0
600192356,"ОП,ПГ,ВПГ",0
600193957,"ОП,ПГ,ВПГ",0
600206301,"ОП,ПГ,ВПГ",0
600209761,"ОП,ПГ,ВПГ",0
600292838,"ОП,ПГ,ВПГ",0
600300935,"ОП,ПГ,ВПГ",0
