account_id,grs,appliance_group,consumer_type,heated_area,k_i,k_i_clipped,is_outlier,corr_ok,n_nonzero,source
600318955,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,65.3,1.0533296154986957,1.0533296154986957,False,False,7,billing
600318950,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,74.1,0.23594500765319038,0.23594500765319038,False,False,7,billing
600318959,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ",Приватний сектор,75.0,0.632167970763563,0.632167970763563,False,False,7,billing
600318963,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,87.0,0.8609088672356039,0.8609088672356039,False,True,7,billing
600318966,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,38.8,1.1079549723794244,1.1079549723794244,False,False,7,billing
600318970,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,80.4,1.1888230650239087,1.1888230650239087,False,True,7,billing
600318974,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,64.0,1.116131859437462,1.116131859437462,False,True,7,billing
600318981,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,95.0,0.16883512479439808,0.16883512479439808,False,False,7,billing
600318978,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,54.9,0.8599978510249882,0.8599978510249882,False,False,7,billing
600318985,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,159.0,0.5055067698209642,0.5055067698209642,False,True,7,billing
600318989,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,78.0,0.8805304529734669,0.8805304529734669,False,True,7,billing
600318993,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,62.4,0.8583053359656135,0.8583053359656135,False,False,7,billing
600319004,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ",Приватний сектор,58.7,0.48414188909425926,0.48414188909425926,False,True,7,billing
600319000,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,41.3,0.29076200387825396,0.29076200387825396,False,False,7,billing
