month,pg_mean
1,7.749792390596763
2,7.090031881155166
3,7.4226294160361155
4,8.00928022150756
5,7.0477300641155995
6,6.510409888020414
7,6.626116260911352
8,7.174343953692328
9,7.023604024429475
10,8.35195058417262
11,7.882456288712658
12,8.234030099195524
