date,norm_weight,mean_op_m2,n_consumers
2024-10-01,0.007213503792361896,0.0036891113687447436,1106
2024-10-02,0.008053485178644272,0.0037759085731207003,1127
2024-10-03,0.008008462024911709,0.003857387483532095,1123
2024-10-04,0.009610386134428668,0.004011901103318219,1120
2024-10-05,0.009131768898066196,0.004525886874722837,1120
2024-10-06,0.008964949489739298,0.004655655208829413,1117
2024-10-07,0.006928860393786799,0.0042020237242879135,1120
2024-10-08,0.00720267154957432,0.004504793235825901,1121
2024-10-09,0.007494353765137675,0.00486398641948456,1119
2024-10-10,0.006935929699559957,0.004919428366608444,1122
2024-10-11,0.006569021290053296,0.0047245999951008475,1121
2024-10-12,0.008952017814984146,0.00552417546534001,1119
2024-10-13,0.01490905009544672,0.010080514610123215,1114
2024-10-14,0.013111518061884656,0.010149641526552738,1115
2024-10-15,0.014344087369661996,0.015556201114559916,1121
2024-10-16,0.02215856976587456,0.02318358218566424,1114
2024-10-17,0.032515660012170454,0.03666270611308643,1088
2024-10-18,0.04208897551543602,0.04764057093701,1075
2024-10-19,0.05717303845194395,0.06166823349472296,1055
2024-10-20,0.06712196623212731,0.0704079834780111,1056
2024-10-21,0.05944375141464903,0.061789714132593376,1093
2024-10-22,0.054396432717717956,0.05602827106106867,1112
2024-10-23,0.05058221242111504,0.05212945168445368,1121
2024-10-24,0.04833535540133173,0.04914503211146552,1135
2024-10-25,0.0602023999798755,0.05799105701913767,1128
2024-10-26,0.05999796802268293,0.0570943055128168,1128
2024-10-27,0.06681294022545578,0.06059305932313582,1123
2024-10-28,0.05952517383849916,0.055957472302487744,1127
2024-10-29,0.05438291596377159,0.05050633209409497,1135
2024-10-30,0.060233035092245986,0.054481447500177686,1136
2024-10-31,0.06759953938686142,0.056624858989121216,1136
2024-11-01,0.017342762713945144,0.05533112981960509,1148
2024-11-02,0.019959863868551753,0.06138689053722836,1152
2024-11-03,0.024685091258425496,0.07824475898519431,1144
2024-11-04,0.029818772258856385,0.09341878765446925,1140
2024-11-05,0.030480541049118768,0.09625208512355941,1147
2024-11-06,0.029730149267043524,0.09496405300440816,1149
2024-11-07,0.02757685877464489,0.08865190578748393,1152
2024-11-08,0.02906935389676532,0.09147276587879524,1153
2024-11-09,0.02971588133228963,0.09336877602908747,1149
2024-11-10,0.0317601458106228,0.09708914297128655,1151
2024-11-11,0.03245898537927902,0.09925020065092635,1153
2024-11-12,0.03163751397839086,0.09933381339833029,1154
2024-11-13,0.03227636466590109,0.09910240372406841,1153
2024-11-14,0.03314642468464935,0.10356859213732036,1155
2024-11-15,0.03443174970605861,0.1065904050343329,1157
2024-11-16,0.03432203941027968,0.10731963783491258,1157
2024-11-17,0.03582923324913085,0.10983113590068619,1155
2024-11-18,0.032268707474508114,0.09992149926218323,1162
2024-11-19,0.0316023011693911,0.09835499135428401,1159
2024-11-20,0.0333560209776388,0.10198431970942853,1159
2024-11-21,0.03094607754362095,0.09444365875687043,1166
2024-11-22,0.033824715382560495,0.10305410143953093,1161
2024-11-23,0.034319621379799034,0.10322272630122167,1161
2024-11-24,0.040004796921120835,0.11544181980661945,1156
2024-11-25,0.04270278862081491,0.1251896436295351,1152
2024-11-26,0.04410983278426519,0.12940882521319244,1153
2024-11-27,0.04421582822314956,0.12664529636506017,1163
2024-11-28,0.04120814337858288,0.11950051755867028,1165
2024-11-29,0.042798302234848117,0.12436368614203057,1162
2024-11-30,0.044401132605746775,0.12444877182894784,1163
2024-12-01,0.03321753501439428,0.12703881910329015,1164
2024-12-02,0.0341428893496043,0.13209576064281212,1159
2024-12-03,0.032895405043215524,0.13120426484140785,1163
2024-12-04,0.033318724512272385,0.13103000847220658,1165
2024-12-05,0.03247427510628935,0.12804355061587885,1171
2024-12-06,0.03127047319718915,0.1256265593095689,1169
2024-12-07,0.032352165842504665,0.12856930634569538,1168
2024-12-08,0.0329422853990685,0.13269230616606903,1164
2024-12-09,0.031343757384036185,0.1264337769309914,1166
2024-12-10,0.029291156986848883,0.117147826038303,1175
2024-12-11,0.029330678295387356,0.11399093671888472,1175
2024-12-12,0.030964428198478822,0.12351362066653306,1170
2024-12-13,0.03521729230298909,0.139687475772806,1155
2024-12-14,0.03765410155230582,0.14665737574679608,1153
2024-12-15,0.03633202931135929,0.14355925075064196,1156
2024-12-16,0.03440960487761227,0.1375430640184916,1161
2024-12-17,0.03259231950008335,0.1306151849343385,1159
2024-12-18,0.03251398455718381,0.13025078796662826,1165
2024-12-19,0.032053305775063434,0.12835946497667017,1167
2024-12-20,0.029177790868821444,0.11745402407161479,1175
2024-12-21,0.02900282164072701,0.11367623505103372,1177
2024-12-22,0.027974371359156168,0.11113969588475019,1176
2024-12-23,0.027799632515050594,0.10990686310454463,1178
2024-12-24,0.028004341178596195,0.11146576654298139,1180
2024-12-25,0.02929490281671948,0.1156808283339412,1177
2024-12-26,0.029732951856009625,0.11834838769231137,1175
2024-12-27,0.03230499458399442,0.1261354233313656,1172
2024-12-28,0.034094068762480834,0.13231994875283812,1170
2024-12-29,0.03490289028328573,0.13664862182976836,1163
2024-12-30,0.03638572762564833,0.1397782735603946,1160
2024-12-31,0.03700909430362378,0.1408538765421242,1160
2025-01-01,0.033610520241311684,0.12869742120157113,1166
2025-01-02,0.030968547271618456,0.12053733469596929,1176
2025-01-03,0.029386360091911395,0.11520948750902042,1175
2025-01-04,0.03182382380553428,0.12216504728541025,1172
2025-01-05,0.03504195044592044,0.13439600866569112,1166
2025-01-06,0.036494132091209094,0.14018486169935881,1165
2025-01-07,0.03208097764793249,0.12462642714292929,1173
2025-01-08,0.028793853798573396,0.11147806408832299,1179
2025-01-09,0.02681211906964921,0.10267638714059933,1182
2025-01-10,0.025738704821823583,0.09942011847301548,1182
2025-01-11,0.028795403683205864,0.10888200040895242,1179
2025-01-12,0.03113189347857579,0.1186177247244226,1175
2025-01-13,0.03228758273961376,0.12507899424404023,1178
2025-01-14,0.033784374913577796,0.12977481015411937,1171
2025-01-15,0.03529491550720523,0.13694393445179223,1168
2025-01-16,0.035860482960773335,0.13613876250826373,1175
